Employee ID,Office Name Formatted,Customer ID,Product Box Sub Level,Business Name,# Sales,DateTime,shift_title,DateSTime,DateETime
899741,"Austin, TX",13552277,2x2 Box,HelloFresh,1,2019-01-01 18:33:00,24 Hour Fitness Research,2019-01-01 16:30:00,2019-01-01 21:30:00
899741,"Austin, TX",13582923,2x2 Box,HelloFresh,1,2019-01-02 21:14:00,Gold’s Gym -Austin North,2019-01-02 16:30:00,2019-01-02 21:35:00
899741,"Austin, TX",13753933,2x2 box,HelloFresh,1,2019-01-08 19:54:00,24 Hour Fitness Pflugerville,2019-01-08 16:26:00,2019-01-08 21:45:00
899741,"Austin, TX",13792769,3x2 box,HelloFresh,1,2019-01-09 21:37:00,Austin Beer Run Club,2019-01-09 18:56:00,2019-01-09 23:00:00
899741,"Austin, TX",13813951,3x2 box,HelloFresh,1,2019-01-10 17:29:00,EveryPlate: Build Expo,2019-01-10 09:00:00,2019-01-10 16:16:00
899741,"Austin, TX",13865605,3x2 box,HelloFresh,1,2019-01-12 17:43:00,Austin Home and Garden Show,2019-01-12 15:29:00,2019-01-12 20:00:00
899741,"Austin, TX",14021636,2x2 box,HelloFresh,1,2019-01-18 19:55:00,3M Half Marathon,2019-01-18 11:32:00,2019-01-18 20:22:00
899741,"Austin, TX",14020027,2x2 box,HelloFresh,1,2019-01-18 18:16:00,3M Half Marathon,2019-01-18 11:32:00,2019-01-18 20:22:00
899741,"Austin, TX",14016837,3x2 box,HelloFresh,1,2019-01-18 15:21:00,3M Half Marathon,2019-01-18 11:32:00,2019-01-18 20:22:00
899741,"Austin, TX",14018916,2x2 box,HelloFresh,1,2019-01-18 17:13:00,3M Half Marathon,2019-01-18 11:32:00,2019-01-18 20:22:00
899741,"Austin, TX",14052355,3x2 box,HelloFresh,1,2019-01-20 14:03:00,Williams-Sonoma Outlet,2019-01-20 12:00:00,2019-01-20 20:08:00
899741,"Austin, TX",14055935,3x4 box,HelloFresh,1,2019-01-20 16:29:00,Williams-Sonoma Outlet,2019-01-20 12:00:00,2019-01-20 20:08:00
899741,"Austin, TX",14052753,3x2 box,HelloFresh,1,2019-01-20 14:20:00,Williams-Sonoma Outlet,2019-01-20 12:00:00,2019-01-20 20:08:00
899741,"Austin, TX",14105038,2x2 box,HelloFresh,1,2019-01-22 18:33:00,24 Hour Fitness William Cannon,2019-01-22 17:05:00,2019-01-22 22:05:00
899741,"Austin, TX",14132426,3x2 box,HelloFresh,1,2019-01-23 20:09:00,Gold's Gym- Austin Southeast,2019-01-23 17:18:00,2019-01-23 20:45:00
899741,"Austin, TX",14133079,3x2 box,HelloFresh,1,2019-01-23 20:34:00,Gold's Gym- Austin Southeast,2019-01-23 17:18:00,2019-01-23 20:45:00
899741,"Austin, TX",14195144,3x2 box,HelloFresh,1,2019-01-26 16:28:00,Austin Family Magazine Summer Camp Fair,2019-01-26 10:46:00,2019-01-26 17:00:00
899741,"Austin, TX",14194128,3x2 box,HelloFresh,1,2019-01-26 15:53:00,Austin Family Magazine Summer Camp Fair,2019-01-26 10:46:00,2019-01-26 17:00:00
899741,"Austin, TX",14224991,3x2 box,HelloFresh,1,2019-01-27 19:50:00,Williams Sonoma - Great Hills,2019-01-27 13:10:00,2019-01-27 18:00:00
899741,"Austin, TX",1619154,3x2 box,HelloFresh,1,2019-01-28 21:35:00,Orangetheory Fitness- Meuller,2019-01-28 16:56:00,2019-01-28 22:29:00
